'Frame','Jitter'
'0','0.100001'
'1','0.100001'
'2','0.100001'
'3','0.100001'
'4','0.100001'
'5','0.100001'
'6','0.1'
'7','0.100001'
'8','0.100001'
'9','0.100001'
'10','0.100001'
'11','0.100001'
'12','0.1'
'13','0.100001'
'14','0.100001'
'15','0.100001'
'16','0.100001'
'17','0.100001'
'18','0.100001'
'19','0.100001'
'20','0.108644'
'21','0.128985'
'22','0.136907'
'23','0.128126'
'24','0.127698'
'25','0.128296'
'26','0.157755'
'27','0.129387'
'28','0.129109'
'29','0.127936'
'30','0.119754'
'31','0.159955'
'32','0.128175'
'33','0.138686'
'34','0.127749'
'35','0.127872'
'36','0.127887'
'37','0.160606'
'38','0.128912'
'39','0.12827'
'40','0.128098'
'41','0.132947'
'42','0.12787'
'43','0.128194'
'44','0.160403'
'45','0.128374'
'46','0.133831'
'47','0.122443'
'48','0.127841'
'49','0.133101'
'50','0.127901'
'51','0.128557'
'52','0.160075'
'53','0.133442'
'54','0.122792'
'55','0.128204'
'56','0.127983'
'57','0.136084'
'58','0.1279'
'59','0.160629'
'60','0.128981'
'61','0.128349'
'62','0.127929'
'63','0.128195'
'64','0.128032'
'65','0.137869'
'66','0.128043'
'67','0.128285'
'68','0.161196'
'69','0.12929'
'70','0.129004'
'71','0.129073'
'72','0.12792'
'73','0.136057'
'74','0.128099'
'75','0.128'
'76','0.160557'
'77','0.129262'
'78','0.129016'
'79','0.129107'
'80','0.127922'
'81','0.133194'
'82','0.128162'
'83','0.129089'
'84','0.15935'
'85','0.128189'
'86','0.128963'
'87','0.128179'
'88','0.128027'
'89','0.132079'
'90','0.128886'
'91','0.159673'
'92','0.133424'
'93','0.122682'
'94','0.128213'
'95','0.128136'
'96','0.127954'
'97','0.137036'
'98','0.128106'
'99','0.160685'
'100','0.128029'
'101','0.12809'
'102','0.128065'
'103','0.128223'
'104','0.127869'
'105','0.135621'
'106','0.127925'
'107','0.128343'
'108','0.159264'
'109','0.129124'
'110','0.128094'
'111','0.128307'
'112','0.127955'
'113','0.133085'
'114','0.127846'
'115','0.128402'
'116','0.160071'
'117','0.128029'
'118','0.128249'
'119','0.128184'
'120','0.128037'
'121','0.132139'
'122','0.128576'
'123','0.161092'
'124','0.128169'
'125','0.129084'
'126','0.128977'
'127','0.128133'
'128','0.128002'
'129','0.135967'
'130','0.128033'
'131','0.160535'
'132','0.128003'
'133','0.128402'
'134','0.128006'
'135','0.128145'
'136','0.128012'
'137','0.137041'
'138','0.127927'
'139','0.160733'
'140','0.128622'
'141','0.128205'
'142','0.128047'
'143','0.128174'
'144','0.128001'
'145','0.133244'
'146','0.160442'
'147','0.129239'
'148','0.127903'
'149','0.128064'
'150','0.128077'
'151','0.128206'
'152','0.128156'
'153','0.137862'
'154','0.128275'
'155','0.160288'
'156','0.128003'
'157','0.128407'
'158','0.127856'
'159','0.128261'
'160','0.127996'
'161','0.132211'
'162','0.160203'
'163','0.129225'
'164','0.129059'
'165','0.128138'
'166','0.127979'
'167','0.128295'
'168','0.16819'
'169','0.1'
'170','0.157157'
'171','0.129063'
'172','0.127752'
'173','0.128511'
'174','0.127776'
'175','0.128089'
'176','0.164774'
'177','0.116123'
'178','0.128269'
'179','0.12808'
'180','0.13724'
'181','0.160626'
'182','0.129094'
'183','0.129246'
'184','0.128905'
'185','0.128053'
'186','0.128019'
'187','0.129105'
'188','0.13302'
'189','0.160711'
'190','0.128893'
'191','0.129111'
'192','0.127909'
'193','0.128173'
'194','0.12797'
'195','0.128573'
'196','0.132791'
'197','0.161647'
'198','0.128543'
'199','0.129599'
'200','0.127891'
'201','0.128158'
'202','0.127923'
'203','0.167705'
'204','0.100001'
'205','0.157137'
'206','0.127977'
'207','0.128114'
'208','0.128082'
'209','0.127971'
'210','0.128123'
'211','0.168889'
'212','0.1'
'213','0.156636'
'214','0.128135'
'215','0.129222'
'216','0.12792'
'217','0.128145'
'218','0.128072'
'219','0.163724'
'220','0.128911'
'221','0.128994'
'222','0.128943'
'223','0.128199'
'224','0.12788'
'225','0.132406'
'226','0.124036'
'227','0.161356'
'228','0.13306'
'229','0.129157'
'230','0.129016'
'231','0.128306'
'232','0.127903'
'233','0.128189'
'234','0.160237'
'235','0.129483'
'236','0.137616'
'237','0.12822'
'238','0.129145'
'239','0.129942'
'240','0.126238'
'241','0.128058'
'242','0.131177'
'243','0.157439'
'244','0.104571'
'245','0.160414'
'246','0.127995'
'247','0.128166'
'248','0.128091'
'249','0.12814'
'250','0.689402'
'251','0.1'
'252','0.1'
'253','0.100001'
'254','0.1'
'255','0.100001'
'256','0.1'
'257','0.100001'
'258','0.100001'
'259','0.112471'
'260','0.1'
'261','0.100001'
'262','0.100001'
'263','0.100001'
'264','0.126347'
'265','0.128379'
'266','0.129069'
'267','0.160535'
'268','0.132846'
'269','0.128208'
'270','0.128075'
'271','0.128418'
'272','0.127557'
'273','0.128334'
'274','0.159443'
'275','0.128345'
'276','0.136787'
'277','0.127858'
'278','0.128147'
'279','0.128196'
'280','0.128031'
'281','0.12924'
'282','0.160541'
'283','0.129102'
'284','0.13668'
'285','0.128354'
'286','0.128237'
'287','0.128061'
'288','0.127994'
'289','0.128072'
'290','0.160418'
'291','0.129118'
'292','0.132939'
'293','0.129275'
'294','0.127797'
'295','0.128257'
'296','0.127882'
'297','0.12816'
'298','0.160677'
'299','0.128079'
'300','0.133151'
'301','0.128341'
'302','0.127804'
'303','0.128184'
'304','0.12796'
'305','0.16035'
'306','0.128162'
'307','0.128189'
'308','0.135782'
'309','0.128254'
'310','0.128055'
'311','0.128127'
'312','0.127826'
'313','0.159699'
'314','0.128094'
'315','0.128365'
'316','0.119057'
'317','0.160487'
'318','0.138342'
'319','0.129324'
'320','0.128896'
'321','0.128151'
'322','0.12797'
'323','0.129196'
'324','0.136805'
'325','0.128135'
'326','0.160623'
'327','0.128078'
'328','0.128794'
'329','0.12935'
'330','0.128049'
'331','0.128323'
'332','0.131718'
'333','0.15974'
'334','0.128913'
'335','0.12924'
'336','0.127844'
'337','0.128251'
'338','0.127999'
'339','0.128414'
'340','0.132885'
'341','0.161478'
'342','0.128988'
'343','0.12913'
'344','0.127881'
'345','0.128057'
'346','0.128192'
